0, !, 185.1.68.3, AS60917, , DE-CIX Madrid, ES, Madrid
9076, !, 198.32.124.236, AS15133, NOTA, NAP of the Americas, US, Miami
9077, !, 195.66.224.174, AS8950, LINX, London Internet Exchange, GB//Kingdom United, London
9078, !, 193.239.116.124, AS199937, NL-IX, Neutral Internet Exchange, NL, Amsterdam
9079, !, 206.126.236.182, AS286, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
9080, !, 206.72.210.94, AS33597, Any2, CoreSite - Any2 California, US, Valley Angeles and Silicon Los
9081, !, 80.249.211.22, AS13157, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
9082, !, 103.203.158.57, AS36351, BBIX Hong Kong, BroadBand Internet eXchange Hong Kong, HK, Hong Kong
9083, !, 37.77.38.15, AS202069, Hopus, Hopus the routed exchange, FR, Geneva Lyon Paris
9084, !, 198.32.160.176, AS3303, NYIIX, New York International Internet Exchange, US, York New
9085, !, 206.81.81.24, AS21804, SIX, Seattle Internet Exchange, US, Seattle
9086, !, 198.32.134.59, AS15133, Equinix-Seattle, Equinix Internet Exchange Seattle, US, Seattle
9087, !, 195.66.238.130, AS32590, LINX, London Internet Exchange, GB//Kingdom United, London
9088, !, 195.208.208.216, AS42861, MSK-IX Moscow, MSK-IX Moscow, RU, Moscow
9089, !, 194.116.96.163, AS199837, TOP-ix, Consorzio Top-IX, IT, Turin//Torino
9090, !, 195.66.239.10, AS42228, LINX, London Internet Exchange, GB//Kingdom United, London
9091, !, 195.66.226.99, AS4651, LINX, London Internet Exchange, GB//Kingdom United, London
9092, !, 194.68.129.110, AS42456, SFINX, Service for French Internet Exchange, FR, Paris
9093, !, 206.81.80.173, AS13370, SIX, Seattle Internet Exchange, US, Seattle
9094, !, 193.110.13.152, AS13335, SOLIX, SOLIX, SE, Stockholm
9095, !, 195.66.225.6, AS29697, LINX, London Internet Exchange, GB//Kingdom United, London
9096, !, 37.49.232.34, AS22822, FranceIX Marseille, France-IX Marseille, FR, Marseille
9097, ?, 200.219.140.46, AS28591, PRIX, Ponto de Troca de Tráfego do Paraná, PTT Curitiba, IX.br Curitiba, BR, PR Curitiba//Paraná
9098, !, 210.173.176.152, AS13414, JPNAP Tokyo, Japan Network Access Point Tokyo, JP, Tokyo
9099, !, 80.249.208.161, AS12306, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
9100, !, 27.111.228.158, AS9534, Equinix Singapore, Equinix Singapore Exchange, SG, Singapore
9101, !, 187.16.194.14, AS53022, PTT Vitoria, IX.br Vitória, BR, ES Vitoria
9102, !, 193.149.1.224, AS36408, ESPANIX, , ES, Madrid
9103, !, 193.149.1.204, AS13030, ESPANIX, , ES, Madrid
9104, !, 103.16.102.78, AS4788, SGIX, Singapore Internet Exchange, SG, Singapore
9105, !, 195.182.219.66, AS36692, PLIX, Polish Internet Exchange, PL, Warsaw
9106, !, 195.245.240.95, AS50168, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
9107, !, 195.191.170.72, AS52031, EPIX.Katowice, Stowarzyszenie na Rzecz Rozwoju Spoleczenstwa Informacyjnego e-Poludnie, PL, Katowice Silesia
9108, !, 80.249.208.120, AS3262, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
9109, !, 193.105.163.38, AS8400, SOX d.o.o. Serbia, Serbian Open eXchange, RS, Serbia Belgrade
9110, !, 198.32.146.73, AS26773, Los Angeles International Internet Exchange, Los Angeles International Internet eXchange, US, Angeles Los
9111, !, 193.239.117.14, AS39923, NL-IX, Neutral Internet Exchange, NL, Amsterdam
9112, !, 185.6.36.35, AS39122, INEX LAN1, Internet Neutral Exchange Association Ltd., IE, Dublin
9113, !, 194.116.96.200, AS16073, TOP-ix, Consorzio Top-IX, IT, Turin//Torino
9114, !, 187.16.203.10, AS14026, IX.br Cuiaba, IX.br Cuiabá, BR, Cuiaba MT
9115, !, 202.40.161.84, AS45932, HKIX, Hong Kong Internet Exchange, HK//CN, Hong Kong
9116, !, 188.93.170.46, AS42456, LU-CIX, Luxembourg Commercial Internet Exchange, LU, Luxembourg
9117, !, 206.126.236.6, AS6762, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
9118, !, 195.42.145.37, AS20562, Equinix Paris, Equinix Internet Exchange Paris, FR, Paris
9119, !, 195.42.144.74, AS29608, Equinix Paris, Equinix Internet Exchange Paris, FR, Paris
9120, !, 80.81.194.60, AS42965, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
9121, !, 193.188.137.170, AS20568, BIX, Budapest Internet Exchange, HU, Budapest
9122, !, 218.100.54.7, AS4739, SA-IX, South Australia Internet Exchange, AU, Adelaide
9123, !, 217.156.113.34, AS49909, RoNIX, Romanian National Internet Exchange, RO, Bucharest
9124, !, 80.249.209.111, AS34309, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
9125, ?, 194.85.177.67, AS39598, MSK-IX St. Petersburg, MSK-IX St. Petersburg, MSK-IX Stavropol, MSK-IX Stavropol, RU, Stavropol
9126, !, 210.171.224.70, AS6507, JPIX, Japan Internet Exchange, JP, Tokyo
9127, !, 206.53.143.35, AS27552, Mass-IX, Massachusetts Internet Exchange, US, Boston
9128, !, 195.66.224.235, AS30740, LINX, London Internet Exchange, GB//Kingdom United, London
9129, !, 91.220.194.1, AS34779, SIX SI, Slovenian Internet Exchange, SI, Ljubljana
9130, !, 80.81.193.208, AS62336, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
9131, !, 80.249.211.241, AS50272, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
9132, !, 194.68.128.77, AS41095, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
9133, !, 194.116.96.85, AS21034, TOP-ix, Consorzio Top-IX, IT, Turin//Torino
9134, !, 185.1.52.32, AS48293, , DataLine-IX, RU, Moscow
9135, !, 80.249.210.57, AS49405, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
9136, !, 193.110.224.14, AS1741, FICIX2, FICIX Helsinki / FICIX2, FI, Helsinki
9137, !, 193.110.226.40, AS16302, FICIX1, FICIX Espoo / FICIX1, FI, Espoo
9138, !, 192.65.185.3, AS513, CIXP, CERN Internet Exchange Point, CH, Geneva
9139, !, 80.81.193.42, AS38193, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
9140, ?, 198.32.132.184, AS6643, Atlanta Internet Exchange, Digital Realty Atlanta Internet Exchange, TIE Atlanta, TelX Internet Exchange, US, Atlanta
9141, !, 80.249.212.175, AS32934, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
9142, !, 80.249.211.251, AS50316, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
9143, !, 206.108.255.37, AS36040, MICE, Midwest Internet Cooperative Exchange, US, MN Minneapolis
9144, !, 193.149.1.179, AS13335, ESPANIX, , ES, Madrid
9145, !, 210.173.176.175, AS7713, JPNAP Tokyo, Japan Network Access Point Tokyo, JP, Tokyo
9146, !, 200.219.143.38, AS28329, PTT Porto Alegre, , BR, Alegre Porto
9147, !, 218.100.6.78, AS18121, BBIX Tokyo, , JP, Tokyo//Fukuoka
9148, !, 80.249.209.168, AS8764, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
9149, !, 195.182.218.29, AS31242, PLIX, Polish Internet Exchange, PL, Warsaw
9150, !, 195.66.224.250, AS199335, LINX, London Internet Exchange, GB//Kingdom United, London
9151, !, 206.72.210.41, AS15169, Any2, CoreSite - Any2 California, US, Valley Angeles and Silicon Los
9152, !, 196.223.14.108, AS6939, JINX, Johannesburg Internet Exchange, ZA//Africa South, Johannesburg
9153, !, 193.149.1.174, AS8560, ESPANIX, , ES, Madrid
9154, !, 80.81.193.16, AS3786, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
9155, !, 193.239.116.147, AS29028, NL-IX, Neutral Internet Exchange, NL, Amsterdam
9156, !, 80.249.208.79, AS24730, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
9157, !, 193.189.82.132, AS44207, KleyRex, KleyReX Internet Exchange, DE, Frankfurt am Main
9158, !, 206.72.211.37, AS54183, Any2, CoreSite - Any2 California, US, Valley Angeles and Silicon Los
9159, !, 193.203.0.109, AS3248, VIX, Vienna Internet Exchange, AT, Vienna
9160, ?, 187.16.219.167, AS263585, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
9161, !, 195.66.237.83, AS24594, LINX, London Internet Exchange, GB//Kingdom United, London
9162, !, 206.126.237.182, AS22652, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
9163, !, 198.32.160.153, AS16591, NYIIX, New York International Internet Exchange, US, York New
9164, !, 187.16.220.17, AS28370, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
9165, !, 206.81.80.236, AS22799, SIX, Seattle Internet Exchange, US, Seattle
9166, !, 91.210.16.127, AS8928, NIX.CZ, NIX.CZ - Neutral Internet eXchange for the Czech Republic, CZ//Republic Czech, Prague
9167, !, 206.126.236.156, AS7795, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
9168, !, 206.130.10.52, AS33986, DE-CIX New York, DE-CIX the New York / New Jersey Internet Exchange, US, Jersey York New
9169, !, 206.223.116.92, AS714, Equinix IBX San Jose, Equinix IBX San Jose, US, San Jose
9170, !, 212.91.0.59, AS47252, Thinx IX, Thinx Poland, PL, Warsaw
9171, !, 195.42.144.108, AS6774, Equinix Paris, Equinix Internet Exchange Paris, FR, Paris
9172, !, 195.66.236.181, AS12496, LINX, London Internet Exchange, GB//Kingdom United, London
9173, !, 210.173.178.50, AS9371, JPNAP Osaka, Internet Multifeed JPNAP Osaka, JP, Osaka
9174, !, 193.178.185.17, AS13335, BCIX, Berlin Commercial Internet Exchange, DE, Berlin
9175, !, 80.249.209.156, AS34106, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
9176, !, 194.68.123.212, AS20485, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
9177, !, 103.246.232.127, AS16509, JPIX OSAKA, Japan Internet Exchange Osaka, JP, Osaka
9178, !, 206.41.110.37, AS15169, ChIX, United IX Chicago, US, Chicago
9179, !, 195.191.171.36, AS196969, EPIX.Katowice, Stowarzyszenie na Rzecz Rozwoju Spoleczenstwa Informacyjnego e-Poludnie, PL, Katowice Silesia
9180, !, 192.65.185.229, AS61098, CIXP, CERN Internet Exchange Point, CH, Geneva
9181, !, 206.223.116.253, AS14609, Equinix IBX San Jose, Equinix IBX San Jose, US, San Jose
9182, !, 80.249.211.14, AS50300, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
9183, !, 206.223.123.34, AS209, Equinix Los Angeles, Equinix Los Angeles IBX, US, Angeles Los
9184, !, 91.210.16.113, AS43614, NIX.CZ, NIX.CZ - Neutral Internet eXchange for the Czech Republic, CZ//Republic Czech, Prague
9185, !, 27.111.228.170, AS38757, Equinix Singapore, Equinix Singapore Exchange, SG, Singapore
9186, !, 206.51.46.22, AS33302, Coresite - Any 2, CoreSite - Any2 Denver / Formerly RMIX, US, Denver
9187, !, 195.66.225.217, AS50056, LINX, London Internet Exchange, GB//Kingdom United, London
9188, !, 195.149.232.24, AS42927, TPIX, TPIX, PL, Warsaw
9189, !, 195.66.239.37, AS12477, LINX, London Internet Exchange, GB//Kingdom United, London
9190, !, 178.18.224.139, AS12714, DATAIX, Peering LTD, RU, RU St Petersburg Moscow Omsk Ekaterinburg Khabarovsk Novosibirs
9191, !, 193.149.1.29, AS8075, ESPANIX, , ES, Madrid
9192, !, 45.127.172.128, AS133749, Equinix Sydney, Equinix Sydney Exchange, AU, Sydney
9193, !, 80.249.210.163, AS51185, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
9194, !, 185.1.58.253, AS56890, DE-CIX Dusseldorf, Deutscher Commercial Internet Exchange Dusseldorf, DE, Düsseldorf
9195, !, 195.66.225.216, AS25160, LINX, London Internet Exchange, GB//Kingdom United, London
9196, !, 195.245.240.186, AS3220, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
9197, !, 185.1.15.42, AS59605, SH-IX, SMARTHUB Internet Exchange, AE, Fujairah UAE
9198, !, 80.249.209.164, AS32934, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
9199, !, 193.42.155.33, AS20783, ECIX HAM, European Commercial Internet Exchange Hamburg, DE, Hamburg
9200, !, 195.66.225.197, AS39905, LINX, London Internet Exchange, GB//Kingdom United, London
9201, !, 103.25.228.18, AS42, VIX.VU, Vanuatu Internet Exchange, VU, Vila Port
9202, !, 206.223.116.154, AS14860, Equinix IBX San Jose, Equinix IBX San Jose, US, San Jose
9203, !, 80.81.192.192, AS3327, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
9204, !, 195.208.208.199, AS29076, MSK-IX Moscow, MSK-IX Moscow, RU, Moscow
9205, !, 218.100.2.97, AS15169, PIPE Sydney, PIPE Networks Sydney, AU, Sydney NSW
9206, !, 195.182.219.84, AS201020, PLIX, Polish Internet Exchange, PL, Warsaw
9207, !, 195.191.171.114, AS44784, EPIX.Katowice, Stowarzyszenie na Rzecz Rozwoju Spoleczenstwa Informacyjnego e-Poludnie, PL, Katowice Silesia
9208, ?, 198.32.132.91, AS15085, Atlanta Internet Exchange, Digital Realty Atlanta Internet Exchange, TIE Atlanta, TelX Internet Exchange, US, Atlanta
9209, ?, 198.32.118.128, AS18559, Equinix-NY, Equinix-NY, Equinix New York, Equinix Internet Exchange New York, US, York New
9210, !, 200.219.143.61, AS53053, PTT Porto Alegre, , BR, Alegre Porto
9211, !, 206.223.116.43, AS2516, Equinix IBX San Jose, Equinix IBX San Jose, US, San Jose
9212, !, 202.7.0.211, AS45831, WIX, Wellington Internet Exchange, NZ//Zealand New, Wellington
9213, !, 206.41.104.34, AS54643, VANIX, Vancouver Internet Exchange, CA, Vancouver
9214, !, 206.223.127.15, AS4280, PIX, Peer 1 Internet Exchange, US, York New
9215, !, 206.108.34.6, AS15169, TORIX, Toronto Internet Exchange, CA, Toronto
9216, !, 206.81.82.10, AS6456, SIX Seattle, Seattle Internet Exchange, US, Seattle
9217, !, 80.249.211.172, AS48200, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
9218, !, 203.163.222.34, AS24157, TPIX, Taipei Internet Exchange, TW, Taiwan Taipei
9219, !, 91.206.52.131, AS25581, SwissIX, SwissIX Internet Exchange, CH, Zurich
9220, !, 194.68.123.210, AS43893, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
9221, !, 206.130.10.127, AS7363, DE-CIX New York, DE-CIX the New York / New Jersey Internet Exchange, US, Jersey York New
9222, !, 200.219.138.57, AS263499, PTT Rio de Janeiro, IX.br Rio de Janeiro, BR, Janeiro Rio RJ de
9223, !, 80.249.210.222, AS4761, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
9224, !, 195.35.65.218, AS34867, UA-IX, Ukrainian Internet Exchange, UA, Kiev
9225, !, 194.68.128.132, AS3856, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
9226, ?, 187.16.218.140, AS262964, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
9227, !, 193.189.82.131, AS20640, KleyRex, KleyReX Internet Exchange, DE, Frankfurt am Main
9228, !, 206.51.43.12, AS33353, CoreSite - Any2, CoreSite - Any2 Chicago, US, Chicago
9229, !, 218.100.13.38, AS38285, PIPE Melbourne, PIPE Networks Melbourne, AU, Melbourne
9230, !, 218.100.44.140, AS38182, MyIX, Malaysia Internet Exchange, MY, Lumpur Kuala
9231, !, 198.32.182.33, AS8075, Equinix Atlanta, Equinix Internet Exchange Atlanta, US, Atlanta
9232, !, 198.32.238.16, AS6939, BIG APE, Big Apple Peering Exchange, US, York New
9233, !, 195.208.208.155, AS29632, MSK-IX Moscow, MSK-IX Moscow, RU, Moscow
9234, !, 193.239.117.105, AS6507, NL-IX, Neutral Internet Exchange, NL, Amsterdam
9235, !, 206.126.236.137, AS293, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
9236, !, 210.171.224.221, AS2906, JPIX, Japan Internet Exchange, JP, Tokyo
9237, !, 91.210.16.109, AS47232, NIX.CZ, NIX.CZ - Neutral Internet eXchange for the Czech Republic, CZ//Republic Czech, Prague
9238, !, 27.111.228.222, AS199524, Equinix Singapore, Equinix Singapore Exchange, SG, Singapore
9239, !, 80.249.210.93, AS5541, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
9240, !, 103.26.68.147, AS20940, MegaIX Sydney, Megaport MegaIX Sydney, AU, Sydney
9241, !, 195.191.170.104, AS199551, EPIX.Katowice, Stowarzyszenie na Rzecz Rozwoju Spoleczenstwa Informacyjnego e-Poludnie, PL, Katowice Silesia
9242, !, 198.32.124.51, AS23148, NOTA, NAP of the Americas, US, Miami
9243, !, 193.203.0.194, AS32934, VIX, Vienna Internet Exchange, AT, Vienna
9244, !, 187.16.220.146, AS28212, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
9245, !, 195.69.117.166, AS44034, Netnod COMIX, Netnod COMIX, SE//DK, Copenhagen Malmo
9246, !, 206.81.81.78, AS47065, SIX, Seattle Internet Exchange, US, Seattle
9247, !, 194.68.128.229, AS13414, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
9248, !, 206.108.255.25, AS13746, MICE, Midwest Internet Cooperative Exchange, US, MN Minneapolis
9249, !, 206.55.196.17, AS43996, LINX NoVA, LINX Northern Virginia, US, Virginia Northern
9250, !, 196.46.25.37, AS327908, NAPAfrica IX Johannesburg, NAPAfrica IX Johannesburg, ZA, Johannesburg
9251, !, 206.223.119.12, AS2914, Equinix Chicago IBX, Equinix Chicago IBX, US, Chicago
9252, !, 198.32.146.28, AS10310, Los Angeles International Internet Exchange, Los Angeles International Internet eXchange, US, Angeles Los
9253, !, 206.223.119.252, AS24115, Equinix Chicago IBX, Equinix Chicago IBX, US, Chicago
9254, !, 206.108.115.33, AS19754, AMS-IX Chicago, AMS-IX Chicago, US, Chicago
9255, !, 195.66.224.141, AS29017, LINX, London Internet Exchange, GB//Kingdom United, London
9256, !, 206.51.40.32, AS20144, Coresite - Any 2, Coresite - Any 2 NorthEast, US, Reston DC Boston York New
9257, ?, 198.32.118.105, AS18566, Equinix-NY, Equinix-NY, Equinix New York, Equinix Internet Exchange New York, US, York New
9258, !, 123.255.91.244, AS7540, HKIX, Hong Kong Internet Exchange, HK, Hong Kong
9259, !, 103.216.40.1, AS63602, CNIX, CNIX China Internet Exchange, CN, Beijing
9260, !, 123.255.91.211, AS24077, HKIX, Hong Kong Internet Exchange, HK, Hong Kong
9261, !, 194.88.240.28, AS6830, INEX, Internet Neutral Exchange Association Limited, IE, Dublin
9262, !, 206.223.119.32, AS3856, Equinix Chicago IBX, Equinix Chicago IBX, US, Chicago
9263, !, 27.111.228.16, AS17547, Equinix Singapore, Equinix Singapore Exchange, SG, Singapore
9264, !, 206.72.211.70, AS40788, Any2, CoreSite - Any2 California, US, Valley Angeles and Silicon Los
9265, !, 200.192.108.14, AS16735, PTT Campinas, IX.br Campinas, BR, SP Campinas
9266, !, 195.66.236.224, AS35028, LINX, London Internet Exchange, GB//Kingdom United, London
9267, !, 202.12.243.8, AS7604, MegaIX Perth, Megaport MegaIX Perth, AU, Perth
9268, ?, 187.16.217.226, AS262854, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
9269, !, 217.29.66.184, AS15691, MIX, Milan Internet eXchange, IT, Milan
9270, !, 195.191.171.81, AS199517, EPIX.Katowice, Stowarzyszenie na Rzecz Rozwoju Spoleczenstwa Informacyjnego e-Poludnie, PL, Katowice Silesia
9271, !, 195.66.238.58, AS61231, LINX, London Internet Exchange, GB//Kingdom United, London
9272, !, 193.201.28.32, AS8265, NaMeX, Nautilus Mediterranean Exchange Point, IT, Rome
9273, !, 206.223.116.112, AS54104, Equinix IBX San Jose, Equinix IBX San Jose, US, San Jose
9274, !, 218.100.6.75, AS13414, BBIX Tokyo, , JP, Tokyo//Fukuoka
9275, !, 193.156.90.14, AS199339, NIX1, Norwegian Internet Exchange Oslo 1, NO, Oslo
9276, !, 80.81.192.63, AS48200, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
9277, !, 210.184.127.46, AS53727, iAIX, iAdvantage Internet Exchange, HK, Hong Kong
9278, !, 193.110.224.33, AS6939, FICIX2, FICIX Helsinki / FICIX2, FI, Helsinki
9279, !, 193.239.117.39, AS49627, NL-IX, Neutral Internet Exchange, NL, Amsterdam
9280, !, 195.245.240.184, AS37100, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
9281, !, 27.111.228.214, AS9873, Equinix Singapore, Equinix Singapore Exchange, SG, Singapore
9282, !, 196.46.25.162, AS327850, NAPAfrica IX Johannesburg, NAPAfrica IX Johannesburg, ZA, Johannesburg
9283, !, 198.32.160.97, AS4224, NYIIX, New York International Internet Exchange, US, York New
9284, !, 80.249.211.183, AS714, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
9285, !, 206.108.34.190, AS39470, TORIX, Toronto Internet Exchange, CA, Toronto
9286, !, 200.219.144.253, AS26162, PTT Londrina, IX.br Londrina, BR, PR Londrina
9287, !, 206.51.41.42, AS109, Coresite - Any 2, Coresite - Any 2 Northern California, US, San Jose
9288, !, 187.16.220.82, AS28275, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
9289, !, 217.174.157.61, AS35761, , Balkan Internet Exchange, BG, Sofia
9290, !, 195.69.119.222, AS198093, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
9291, !, 209.124.52.15, AS10423, DET-IX, DET-IX, US, Detroit
9292, !, 43.243.21.7, AS24516, AKL-IX, Auckland Internet Exchange, NZ, Auckland
9293, !, 193.42.155.60, AS6805, ECIX HAM, European Commercial Internet Exchange Hamburg, DE, Hamburg
9294, !, 198.32.98.31, AS62, CyrusOne IX Phoenix, CyrusOne Internet Exchange, US, Phoenix
9295, !, 80.81.194.14, AS8866, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
9296, !, 198.32.195.91, AS8047, NWAX, Northwest Access Exchange, US, Portland
9297, !, 188.93.170.70, AS8674, LU-CIX, Luxembourg Commercial Internet Exchange, LU, Luxembourg
9298, !, 80.249.209.77, AS29462, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
9299, !, 206.223.119.52, AS23028, Equinix Chicago IBX, Equinix Chicago IBX, US, Chicago
9300, !, 27.111.228.82, AS4628, Equinix Singapore, Equinix Singapore Exchange, SG, Singapore
9301, !, 192.203.154.47, AS9790, APE, Auckland Peering Exchange, NZ//Zealand New, Auckland
9302, !, 206.108.34.207, AS549, TORIX, Toronto Internet Exchange, CA, Toronto
9303, !, 209.124.52.25, AS21527, DET-IX, DET-IX, US, Detroit
9304, !, 206.223.116.50, AS15211, Equinix IBX San Jose, Equinix IBX San Jose, US, San Jose
9305, !, 200.219.145.252, AS20121, PTT Salvador, IX.br Salvador, BR, Salvador BA
9306, !, 206.51.7.35, AS11708, KCIX, Kansas City Internet Exchange, US, City Kansas
9307, !, 80.249.208.105, AS12634, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
9308, ?, 198.32.212.51, AS133480, WAIX, Western Australian Internet Association, IX Australia WA, West Australian Internet Exchange, AU, Perth
9309, !, 176.126.38.25, AS48053, GR-IX, GReek Internet eXchange, GR, Athens
9310, !, 204.107.122.45, AS3128, MKEIX, , US, Milwaukee
9311, !, 218.100.24.19, AS17746, CHIX, Christchurch Internet Exchange, NZ//Zealand New, Christchurch
9312, ?, 218.100.78.7, AS38880, Victoria Internet Exchange, VIC-IX, QLD-IX, Queensland Internet Exchange, AU, Victoria Melbourne//Brisbane
9313, !, 195.66.236.140, AS8075, LINX, London Internet Exchange, GB//Kingdom United, London
9314, !, 195.66.237.45, AS27822, LINX, London Internet Exchange, GB//Kingdom United, London
9315, ?, 187.16.217.148, AS28241, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
9316, !, 195.191.171.161, AS206910, EPIX.Katowice, Stowarzyszenie na Rzecz Rozwoju Spoleczenstwa Informacyjnego e-Poludnie, PL, Katowice Silesia
9317, !, 5.57.80.22, AS8897, LoNAP, London Network Access Point, GB//Kingdom United, London
9318, !, 195.66.225.189, AS35228, LINX, London Internet Exchange, GB//Kingdom United, London
9319, !, 192.121.80.222, AS39783, STHIX, Stockholm Internet eXchange, SE, Stockholm
9320, !, 195.66.244.230, AS8714, IXManchester, IXManchester powered by LINX, GB//Kingdom United, Manchester
9321, !, 194.68.123.163, AS34610, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
9322, !, 195.66.239.15, AS203421, LINX, London Internet Exchange, GB//Kingdom United, London
9323, !, 80.81.192.223, AS12322, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
9324, !, 91.212.9.80, AS199338, EPIX, EPIX.Warszawa-KIX, PL, Warszawa
9325, !, 192.114.62.26, AS1680, IIX, Israeli Internet Exchange, IL, Tikva Petah//Tel Aviv
9326, !, 5.57.80.175, AS28792, LoNAP, London Network Access Point, GB//Kingdom United, London
9327, !, 195.85.203.26, AS34806, FreeBIX, Free Belgian Internet Exchange, BE, Belgium
9328, !, 91.206.52.34, AS9092, SwissIX, SwissIX Internet Exchange, CH, Zurich
9329, !, 200.219.138.189, AS2906, PTT Rio de Janeiro, IX.br Rio de Janeiro, BR, Janeiro Rio RJ de
9330, !, 206.108.34.229, AS36692, TORIX, Toronto Internet Exchange, CA, Toronto
9331, !, 193.239.116.140, AS42093, NL-IX, Neutral Internet Exchange, NL, Amsterdam
9332, !, 202.7.0.171, AS38022, WIX, Wellington Internet Exchange, NZ//Zealand New, Wellington
9333, !, 206.223.118.138, AS16591, Equinix IBX Dallas, Equinix IBX Dallas, US, Dallas
9334, !, 193.178.185.83, AS44050, BCIX, Berlin Commercial Internet Exchange, DE, Berlin
9335, !, 193.149.1.99, AS29119, ESPANIX, , ES, Madrid
9336, !, 187.16.222.76, AS264575, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
9337, !, 206.223.123.159, AS668, Equinix Los Angeles, Equinix Los Angeles IBX, US, Angeles Los
9338, !, 206.81.80.225, AS10848, SIX, Seattle Internet Exchange, US, Seattle
9339, !, 80.249.211.37, AS36089, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
9340, !, 210.184.127.39, AS17451, iAIX, iAdvantage Internet Exchange, HK, Hong Kong
9341, ?, 218.100.27.234, AS42909, Open IXP, OpenIXP Internet exchange Point, OpenIXP / NiCE, National Inter Connection Exchange, ID, Indonesia//Jakarta
9342, !, 194.53.172.77, AS2686, BNIX, Belgian National Internet Exchange, BE, Brussels
9343, !, 206.223.123.75, AS12989, Equinix Los Angeles, Equinix Los Angeles IBX, US, Angeles Los
9344, !, 119.110.117.43, AS23949, MCIX, Matrix Cable Internet eXchange, ID, Jakarta
9345, !, 194.30.187.85, AS24971, NIX.SK, NIX.SK - exSitelIX, SK, Bratislava
9346, !, 198.78.5.1, AS11280, MiamiIX, Miami Internet Exchange, US, Florida Miami
9347, !, 195.246.227.34, AS57516, SMILE, Santa Monica Internet Local Exchange, LV, Riga
9348, !, 193.169.198.81, AS15169, BIX.BG, Bulgarian Internet eXchange, BG, Sofia
9349, !, 62.69.146.89, AS54113, , European Commercial Internet Exchange, DE, Frankfurt
9350, !, 187.16.222.107, AS263152, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
